Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
MEDi074,Swindle (2),Running Cold (Roni Size Remix),Deep Medi Musik,"10"", S/Sided",,2013,5278359,Uncategorized,2017-02-25 22:23:29,,,
MEDI077,Mala (4),Changes (Distance Remix) / Miracles (Commodo Remix),Deep Medi Musik,"12"", W/Lbl",5,2013,5197862,Uncategorized,2017-02-26 17:34:53,,,
MEDI110V,Bukez Finezt,The Idea Of The Devil,Deep Medi Musik,"12"", EP, Red",,2020,15796878,Uncategorized,2022-12-21 14:09:23,,,
MEDi115,Commodo,Procession,Deep Medi Musik,"12"", EP, Ora",,2020,16376013,Uncategorized,2023-01-13 16:31:57,Mint (M),Mint (M),
MEDILP008,Swindle (2),Long Live The Jazz,Deep Medi Musik,"2xLP, Album",5,2013,4661858,Uncategorized,2013-07-16 13:39:53,,,
DIS017,Mikal,What You Know / Higher Force / Lost,Disfigured Dubz,"12""",,2012,3457315,Uncategorized,2013-08-04 00:05:52,,,
399YTIVIL,Hodge (3) / Bruce (40),Amor Fati (Peverelist Remix) / Tilikum (Hodge Remix),Dnuos Ytivil,"12"", EP",,2015,7497082,Uncategorized,2023-01-13 16:31:57,Mint (M),Generic,
589YTIVIL,Jurango,Retreat Ites E.P.,Dnuos Ytivil,"12"", EP",,2021,17429539,Uncategorized,2023-01-13 16:31:57,Near Mint (NM or M-),Near Mint (NM or M-),
689YTIVIL,Ido Plumes,Away From The Reign EP,Dnuos Ytivil,"12"", EP",,2020,15220494,Uncategorized,2023-01-13 16:31:56,Mint (M),Mint (M),
DGF-014LP,Various,Gem Drops Three,"Dropping Gems, Fin Records","12"", Pur",,2013,4689407,Uncategorized,2013-07-18 16:13:16,,,
DP031,Trolley Snatcha,The Future / Scattah,Dub Police,"12""",,2009,1919949,Uncategorized,2013-07-17 20:40:00,,,
DP033,The Others (7),Gravity EP,Dub Police,"2x12"", EP",,2010,2236146,Uncategorized,2013-07-17 20:41:26,,,
DP034,Emalkay,When I Look At You / A.G.S.,Dub Police,"12""",,2009,1965227,Uncategorized,2013-07-19 15:44:45,,,
DP038,Doctor P / Trolley Snatcha,Badman Sound / SlowDown,Dub Police,"12""",,2010,2358985,Uncategorized,2017-02-25 22:20:32,,,
DP044,Trolley Snatcha,One Trick Pony,Dub Police,"2x12"", EP",,2010,2497100,Uncategorized,2013-07-17 20:40:39,,,
DP045,Sub Scape,Time To Escape EP,Dub Police,"2x12"", EP",,2010,2512921,Uncategorized,2013-09-01 19:50:04,,,
DP051,The Antiserum,Zephyr,Dub Police,"12""",,2011,2918331,Uncategorized,2013-08-22 16:29:21,,,
DP060,Matty G,Back To The Bay,Dub Police,"12"", EP",,2011,3308280,Uncategorized,2017-02-25 22:21:07,,,
DP061,Trolley Snatcha,Subtext EP,Dub Police,"2x12"", EP",,2012,3360839,Uncategorized,2013-08-22 16:27:12,,,
